step_id,timestamp,voltage,current,res_1,res_2,res_3,res_4,flow_mfc1,flow_mfc2,flow_mfc3,flow_mfc4,relais1,relais2,relais3,relais4
prolog,05/09/2023 - 09:33:46,2.0,3.0,419,393,371,536,5.94,5.25,4.43,4.04,1,0,0,1
prolog,05/09/2023 - 09:33:47,5.0,4.0,443,440,337,328,4.41,5.04,4.27,4.15,0,0,1,0
prolog,05/09/2023 - 09:33:48,4.0,5.0,327,340,531,422,3.37,3.55,3.85,5.47,1,0,1,1
prolog,05/09/2023 - 09:33:49,4.0,6.0,591,424,450,416,4.44,3.9,5.55,3.93,1,1,1,0
heatingup,05/09/2023 - 09:33:50,3.0,5.0,527,529,556,499,5.88,3.97,4.17,4.69,1,1,0,0
heatingup,05/09/2023 - 09:33:51,1.0,4.0,448,556,333,368,3.89,4.31,5.24,5.21,1,1,0,0
heatingup,05/09/2023 - 09:33:52,2.0,4.0,422,543,375,458,5.7,3.26,5.58,3.44,0,1,1,1
heatingup,05/09/2023 - 09:33:53,5.0,5.0,475,552,377,324,5.74,3.86,3.71,3.13,1,0,1,1
measuring,05/09/2023 - 09:33:55,2.0,6.0,544,303,560,305,4.33,5.25,3.32,5.85,0,1,1,1
measuring,05/09/2023 - 09:33:56,2.0,3.0,371,363,537,317,4.96,5.41,5.86,4.89,1,0,0,1
measuring,05/09/2023 - 09:33:57,3.0,6.0,473,543,435,335,3.27,4.72,4.27,3.09,1,0,0,0
measuring,05/09/2023 - 09:33:58,4.0,4.0,528,322,498,571,4.1,5.66,4.6,4.1,0,1,1,0
cooldown,05/09/2023 - 09:33:59,4.0,6.0,403,567,450,313,4.22,3.36,4.63,5.78,0,0,0,1
cooldown,05/09/2023 - 09:34:00,1.0,6.0,565,507,524,455,5.57,5.48,3.36,4.61,1,0,1,0
cooldown,05/09/2023 - 09:34:01,4.0,3.0,307,575,524,593,3.44,4.9,3.65,3.04,0,0,0,0
cooldown,05/09/2023 - 09:34:03,3.0,5.0,430,514,393,316,4.81,5.45,3.6,5.1,1,1,1,1
cooldown,05/09/2023 - 09:34:04,4.0,6.0,431,335,595,555,5.48,4.04,4.5,3.89,0,0,1,1
